ANIMATION	Animation()
AUDIO	AUDIO_Define()
AUDIO	AUDIO_Music_Play(int)
AUDIO	AUDIO_Sound_Play(int)
AUDIO	AUDIO_Volume_Change_Music(int,bool)
AUDIO	AUDIO_Volume_Change_Sound(int,bool)
CONTENT_Gametype_Load	GAMETYPE_Load()
CONTENT_Stages_Load_Write	STAGES_Files_Names_Load()
CONTENT_Stages_Load_Write	STAGES_Import()
CONTENT_Stages_Load_Write	STAGES_Import_RANDOM_Modules()
CONTENT_Stages_Load_Write	STAGE_Copy_To_Cache(int)
CONTENT_Stages_Load_Write	STAGE_Copy_To_StageC64()
CONTENT_Stages_Load_Write	STAGE_Load(int,int,bool,bool)
CONTENT_Stages_Load_Write	STAGE_Save(int)
ENEMIES	ENEMIES_Define()
ENEMIES_Collision	ENEMY_Check_Tilecollision(int)
ENEMIES_Collision	ENEMY_Collision_Down(int)
ENEMIES_Collision	ENEMY_Collision_Left(int)
ENEMIES_Collision	ENEMY_Collision_Right(int)
ENEMIES_Draw	ENEMIES_Draw()
ENEMIES_Draw	ENEMY_Draw(int)
ENEMIES_Move	ENEMIES_Move()
ENEMIES_Move	ENEMY_Change_Direction(int)
ENEMIES_Move	ENEMY_Gravity(int)
ENEMIES_Move	ENEMY_Jump(int)
ENEMIES_Move	ENEMY_Move_Dragon(int)
ENEMIES_Move	ENEMY_Move_Spider(int)
ENEMIES_Move	ENEMY_Walk(int)
GAME_ENVIRONMENT	GAME_ENVIRONMENT_Define()
GAME_ENVIRONMENT	Option_GameType_Load()
GAME_ENVIRONMENT	Options_Load()
GAME_ENVIRONMENT	Options_Save()
GRAPHICS_Sprites	SPRITES_Define()
GRAPHICS_Sprites	SPRITE_PowerUp_Activate(int,int)
GRAPHICS_Sprites	SPRITE_SmallCoin_Activate(int,int)
GRAPHICS_Sprites_Bullets	SPRITE_Bullet_Activate()
GRAPHICS_Sprites_Bullets	SPRITE_Bullet_Move()
GRAPHICS_Sprites_Bullets	Sprite_Bullet_Collision_Bottom()
GRAPHICS_Sprites_Bullets	Sprite_Bullet_Collision_Enemies(int)
GRAPHICS_Sprites_Bullets	Sprite_Bullet_Collision_Left()
GRAPHICS_Sprites_Bullets	Sprite_Bullet_Collision_PC()
GRAPHICS_Sprites_Bullets	Sprite_Bullet_Collision_Right()
GRAPHICS_Sprites_Bullets	Sprite_Bullet_Collision_Top()
GRAPHICS_Sprites_Bullets	Sprite_Bullet_Get_TargetEnemy()
GRAPHICS_Sprites_Draw	SPRITES_Draw()
GRAPHICS_Sprites_Draw	SPRITE_Bullet_Draw()
GRAPHICS_Sprites_Draw	SPRITE_Bullet_Explosion_Draw()
GRAPHICS_Sprites_Draw	SPRITE_DropStone_Draw(int)
GRAPHICS_Sprites_Draw	SPRITE_Platform_Draw()
GRAPHICS_Sprites_Draw	SPRITE_PowerUp_Draw(int)
GRAPHICS_Sprites_Draw	SPRITE_SmallCoin_Draw(int)
GRAPHICS_Sprites_Move	SPRITES_Move()
GRAPHICS_Sprites_Move	SPRITE_DropStone_Gravity(int)
GRAPHICS_Sprites_Move	Sprite_Platform_Move()
GRAPHICS_Sprites_Move	Sprite_PowerUp_Collision_Down(int)
GRAPHICS_Sprites_Move	Sprite_PowerUp_Collision_Left(int)
GRAPHICS_Sprites_Move	Sprite_PowerUp_Collision_Right(int)
GRAPHICS_Sprites_Move	Sprite_PowerUp_Gravity(int)
GRAPHICS_Sprites_Move	Sprite_PowerUp_Tilecollision(int)
GRAPHICS_Sprites_Move	Sprite_PowerUp_Walk(int)
GRAPHICS_Sprites_Move	Sprite_SmallCoin_Gravity(int)
GRAPHICS_Tiles_Animations	SwitchTileToNextFrame(int,int)
GRAPHICS_Tiles_Define	TILES_Define()
GRAPHICS_Tiles_Draw	TILE_Draw(int,int,int)
GRAPHICS_Tiles_Draw	drawGround(int)
GRAPHICS_Tiles_Elements	ElementHeight(int)
GRAPHICS_Tiles_Elements	ElementWidth(int)
GRAPHICS_Tiles_Switch_Tile	Check_Switch_Tile_Down(int,int)
INTERFACE_Draw	INTERFACE_Tile_Draw(int,int,int)
INTERFACE_Draw	OVERLAY_Volume_Draw_Music()
INTERFACE_Draw	OVERLAY_Volume_Draw_Sound()
LOOP_Credits	LOOP_Credits()
LOOP_Credits	LOOP_Credits_Draw()
LOOP_Editor_Stages	LOOP_Editor_Stages()
LOOP_Editor_Stages	LOOP_Editor_Stages_Draw_Stage()
LOOP_Editor_Stages	LOOP_Editor_Stages_Load_Stage(int)
LOOP_Editor_Stages_Creator	LOOP_Editor_Stages_Create(int,bool,bool,bool)
LOOP_Editor_Stages_Creator	LOOP_Editor_Stages_Create_Distribute_Modules(int)
LOOP_Editor_Stages_Creator	LOOP_Editor_Stages_Create_Distribute_Objects(int)
LOOP_Editor_Stages_Creator_Functions	CREATOR_Stages_Clear()
LOOP_Editor_Stages_Creator_Functions	CREATOR_Stages_Clear_Enemies()
LOOP_Editor_Stages_Creator_Functions	CREATOR_Stages_Create_Ground_With_Holes(int,bool)
LOOP_Editor_Stages_Creator_Functions	CREATOR_Stages_Ground(int)
LOOP_Editor_Stages_Creator_Functions	CREATOR_Stages_Reset_Start_Positions()
